nama_file,ekstensi,ukuran_mb
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_21_Kalimantan_Tengah.csv,.csv,1.66
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_36_Papua_Tengah.csv,.csv,1.56
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_01_Aceh.csv,.csv,1.52
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_01_Aceh.csv,.csv,1.51
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_24_Kalimantan_Utara.csv,.csv,1.64
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_14_DI_Yogyakarta.csv,.csv,1.6
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_09_Kepulauan_Bangka_Belitung.csv,.csv,1.74
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_35_Papua_Selatan.csv,.csv,1.59
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_38_Papua_Barat_Daya.csv,.csv,1.6
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_32_Maluku_Utara.csv,.csv,1.55
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_33_Papua_Barat.csv,.csv,1.58
data_raw/cuaca_historis_open_meteo/weather_hourly_2022_04_Riau.csv,.csv,1.51
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_04_Riau.csv,.csv,1.51
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_07_Bengkulu.csv,.csv,1.54
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_36_Papua_Tengah.csv,.csv,1.56
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_29_Gorontalo.csv,.csv,1.55
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_06_Sumatera_Selatan.csv,.csv,1.62
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_18_Nusa_Tenggara_Barat.csv,.csv,1.64
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_19_Nusa_Tenggara_Timur.csv,.csv,1.62
